,World Number,Level Number,Initial Scrap,Bronze Min.,Silver Min.,Gold Min.,Initial Blades,Big Scrap Interval,Small Scrap Interval,LevelType,Default Loadout
,1,2,15,,,,3,0,0,Tutorial,0; 1
,,,,,,,,,,,
Act Number,Act Type,Act Fields,,,,,,,,,
0.5,action,Action Name,Action Argument,,,,,,,,
,,stop rarity drops,,,,,,,,,
1,dialog,Character,Emotion,Text,,,,,,,
,,joe,ooo,"You didn’t think you could only use one Gizmoid at a time, did ya? What kind of cruel world would that be, huh?",,,,,,,
,,joe,happy,Introducing Gizmoid Number 2--Crabity!,,,,,,,
,,joe,explaining,"Among all the useless junk you’ll be picking up, some of the stuff has value to it. ",,,,,,,
,,joe,side ooo,"These scrap parts can be repurposed to make new Gizmoids later, so you’ll wanna get them all.",,,,,,,
,,joe,ooo,And that’s what Crabity’s for! So go ahead and drag him to your ship!,,,,,,,
2,action,Action Name,Action Argument,,,,,,,,
,,spawn small scrap,5,,,,,,,,
4,condition,Condition Name,Argument,Prompt,,,,,,,
,,place gizmoid,,Place Crabity on a blade.,,,,,,,
6,condition,Condition Name,Argument,Prompt,,,,,,,
,,stockpile scrap,5,Point Crabity at the small scrap to collect.,,,,,,,
7,dialog,Character,Emotion,Text,,,,,,,
,,joe,happy,JUST. THAT. EASY!,,,,,,,
8,action,Action Name,Action Argument,,,,,,,,
,,start spawning,all scrap,,,,,,,,
9,condition,Condition Name,Argument,Prompt,,,,,,,
,,wait for seconds,20,,,,,,,,
10.5,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,40,0,yes,15,,,,,,
10,dialog,Character,Emotion,Text,,,,,,,
,,joe,Explaining,Some of these asteroids have to be shot twice as much to take them out.,,,,,,,
,,joe,Worried,LIKE THIS ONE COMING RIGHT NOW!,,,,,,,
11,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,,,yes,,2,,no,xeno- gold,,
11.1,action,Action Name,Action Argument,,,,,,,,
,,stop spawning,all scrap,,,,,,,,
11.2,condition,Condition Name,Argument,Prompt,,,,,,,
,,pick up collectible,xeno,,,,,,,,
11.5,action,Action Name,Action Argument,,,,,,,,
,,unlock,xeno,,,,,,,,
11.75,action,Action Name,Action Argument,,,,,,,,
,,start rarity drops,,,,,,,,,
11.77,action,Action Name,Action Argument,,,,,,,,
,,start spawning,all scrap,,,,,,,,
11.8,condition,Condition Name,Argument,Prompt,,,,,,,
,,wait for seconds,2,,,,,,,,
11.9,dialog,Character,Emotion,Text,,,,,,,
,,joe,explaining,You will want to collect as many xenos as possible. ,,,,,,,
,,joe,happy,They are the only respected currency in Galaxy One.,,,,,,,
13,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,30,0;2,yes,15,,,,,,
14,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,,,yes,5,0;2;0;2;0,,yes,blueprint- 2,,
15,action,Action Name,Action Argument,,,,,,,,
,,stop spawning,all scrap,,,,,,,,
16,condition,Condition Name,Argument,Prompt,,,,,,,
,,pick up collectible,blueprint,,,,,,,,
